Group,Stimuli_Type,PrimeCondition,Item,Sentence,Picture1,Picture2,PrimeQuantifier,Experiment
A,Filler,NA,IntFiller25,Elke gevangene klapte,prisoner_clap.bmp,prisoner_yawn.bmp,Elke,NL
A,Filler,NA,TrFiller21,De excentriekeling dronk de champagne,f_eccentric_champagne.bmp,f_eccentric_milkshake.bmp,Elke,NL
A,Filler,NA,IntFiller32,Elke indiaan zweette,nativeamerican_sweat.bmp,nativeamerican_smile.bmp,Elke,NL
A,Filler,NA,IntFiller75,Elke brandweerman sliep,fireman_sleep.bmp,skier_sleep.bmp,Elke,NL
A,Prime,Uwide,PT061,Elke kok knuppelde een boef,chef_burglar_m.bmp,chef_turtle_m.bmp,Elke,NL
A,Target,NA,PT083,Elke engel rook een pizza,angel_pizza_m.bmp,angel_pizza_s.bmp,Elke,NL
A,Filler,NA,TrFiller76,De artiest mepte de clown,f_artist_clown.bmp,f_artist_soldier.bmp,Elke,NL
A,Filler,NA,TrFiller44,De piraat gooide het boek,f_pirate_book.bmp,f_cowboy_book.bmp,Elke,NL
A,Filler,NA,IntFiller14,Elke brandweerman gaapte,fireman_yawn.bmp,fireman_clap.bmp,Elke,NL
A,Prime,Ewide,PT065,Elke kunstenaar kuste een bokser,artist_boxer_s.bmp,artist_clown_s.bmp,Elke,NL
A,Target,NA,PT086,Elke hippie sloeg een reiziger,hippie_backpacker_m.bmp,hippie_backpacker_s.bmp,Elke,NL
A,Filler,NA,TrFiller07,De danser stak de monnik,f_ballerina_monk.bmp,f_thief_monk.bmp,Elke,NL
A,Filler,NA,TrFiller31,De kip benaderde de boom,f_chicken_tree.bmp,f_chicken_iglo.bmp,Elke,NL
A,Filler,NA,IntFiller05,Elke serveerste rende,waitress_run.bmp,policeman_run.bmp,Elke,NL
A,Prime,Uwide,PT026,Elke beer naderde een tent,bear_tent_m.bmp,snake_tent_m.bmp,Elke,NL
A,Target,NA,PT005,Elke student viel een professor aan,student_professor_m.bmp,student_professor_s.bmp,Elke,NL
A,Filler,NA,TrFiller59,De fotograaf tilde de stoel op,f_photographer_chair.bmp,f_painter_chair.bmp,Elke,NL
A,Filler,NA,IntFiller74,Elke indiaan liep,nativeamerican_walk.bmp,soldier_walk.bmp,Elke,NL
A,Prime,Ewide,PT025,Elk varken naderde een schuur,pig_barn_s.bmp,pig_bulldozer_s.bmp,Elke,NL
A,Target,NA,PT069,Elke lijfwacht mepte een fan,bodyguard_fan_m.bmp,bodyguard_fan_s.bmp,Elke,NL
A,Filler,NA,TrFiller52,De politieman ving de hoed,f_policeman_hat2.bmp,f_policeman_book2.bmp,Elke,NL
A,Filler,NA,TrFiller25,De jongeman sloeg de grootvader,f_youngster_grandfather.bmp,f_youngster_captain.bmp,Elke,NL
A,Filler,NA,TrFiller39,De musicus speelde de gitaar,f_entertainer_guitar.bmp,f_entertainer_accordion.bmp,Elke,NL
A,Filler,NA,IntFiller11,Elke matroos knikte,sailor_nod.bmp,sailor_laugh.bmp,Elke,NL
A,Prime,Ewide,PT071,Elke cowboy mepte een boer,cowboy_farmer_s.bmp,cowboy_cyclist_s.bmp,Elke,NL
A,Target,NA,PT094,Elke musicus stal een piano,musician_piano_m.bmp,musician_piano_s.bmp,Elke,NL
A,Filler,NA,IntFiller30,Elke kat sliep,cat_sleep.bmp,nativeamerican_sleep.bmp,Elke,NL
A,Filler,NA,TrFiller53,De priester tilde de bijbel op,f_preacher_bible.bmp,f_gangster_bible.bmp,Elke,NL
A,Filler,NA,IntFiller62,Elke duiker zweette,diver_sweat.bmp,prisoner_sweat.bmp,Elke,NL
A,Prime,Ewide,PT057,Elke kunstenaar kietelde een matroos,artist_sailor_s.bmp,artist_monk_s.bmp,Elke,NL
A,Target,NA,PT043,Elke verhuizer droeg een doos,mover_box_m.bmp,mover_box_s.bmp,Elke,NL
A,Filler,NA,IntFiller27,Elke duiker huilde,diver_cry.bmp,witch_cry.bmp,Elke,NL
A,Filler,NA,IntFiller45,Elke ski&eumlr rende,skier_run.bmp,skier_yawn.bmp,Elke,NL
A,Filler,NA,TrFiller49,De politicus rook de wijn,f_politician_wine.bmp,f_politician_fish.bmp,Elke,NL
A,Prime,Ewide,PT041,Elke mier droeg een brood,ant_bread_s.bmp,ant_banana_s.bmp,Elke,NL
A,Target,NA,PT068,Elke professor kuste een monnik,professor_monk_m.bmp,professor_monk_s.bmp,Elke,NL
A,Filler,NA,IntFiller38,Elke heks lachte,witch_laugh.bmp,witch_clap.bmp,Elke,NL
A,Filler,NA,IntFiller37,Elke danser knikte,dancer_nod.bmp,nativeamerican_nod.bmp,Elke,NL
A,Prime,Uwide,PT102,Elke vis volgde een orka,fish_orca_m.bmp,turtle_orca_m.bmp,Elke,NL
A,Target,NA,PT034,Elke huurmoordenaar beschoot een zwemmer,assassin_swimmer_m.bmp,assassin_swimmer_s.bmp,Elke,NL
A,Filler,NA,TrFiller50,De politieman bestrafte de soldaat,f_policeman_soldier.bmp,f_policeman_boxer.bmp,Elke,NL
A,Filler,NA,IntFiller08,Elke prinses huilde,princess_cry.bmp,diver_cry.bmp,Elke,NL
A,Filler,NA,TrFiller48,De piraat toonde het boek,f_pirate_book3.bmp,f_nun_book2.bmp,Elke,NL
A,Prime,Uwide,PT108,Elke toerist zag een standbeeld,tourist_statue_m.bmp,monk_statue_m.bmp,Elke,NL
A,Target,NA,PT070,Elke voetballer mepte een politieman,footballer_policeman_m.bmp,footballer_policeman_s.bmp,Elke,NL
A,Filler,NA,TrFiller72,De vagebond speelde de trompet,f_bum_trumpet.bmp,f_genius_trumpet.bmp,Elke,NL
A,Filler,NA,TrFiller06,De bakker stak de boef,f_baker_thief.bmp,f_swimmer_thief.bmp,Elke,NL
A,Filler,NA,TrFiller12,De cowboy gooide de pistool,f_cowboy_gun.bmp,f_cowboy_banana2.bmp,Elke,NL
A,Prime,Uwide,PT098,Elk konijn verfde een schilderij,rabbit_painting_m.bmp,wasp_painting_m.bmp,Elke,NL
A,Target,NA,PT103,Elke aap volgde een kat,monkey_cat_m.bmp,monkey_cat_s.bmp,Elke,NL
A,Filler,NA,IntFiller69,Elke brandweerman rende,fireman_run.bmp,boxer_run.bmp,Elke,NL
A,Filler,NA,IntFiller64,Elke ridder rende,knight_run.bmp,knight_laugh.bmp,Elke,NL
A,Filler,NA,IntFiller13,Elke gevangene liep,prisoner_walk.bmp,prisoner_yawn.bmp,Elke,NL
A,Prime,Uwide,PT024,Elke aap beklom een muur,monkey_wall_m.bmp,cat_wall_m.bmp,Elke,NL
A,Target,NA,PT093,Elke zwerver stal een bed,tramp_bed_m.bmp,tramp_bed_s.bmp,Elke,NL
A,Filler,NA,IntFiller24,Elke monnik lachte,monk_laugh.bmp,monk_walk.bmp,Elke,NL
A,Filler,NA,TrFiller17,De dierenarts kietelde de puppy,f_vet_puppy.bmp,f_vet_pony.bmp,Elke,NL
A,Filler,NA,TrFiller77,De zakenvrouw duwde de saxofonist,f_businesswoman_saxophonist.bmp,f_businesswoman_astronomer.bmp,Elke,NL
A,Filler,NA,TrFiller81,Het vriendinnetje hield de ketting vast,f_girlfriend_necklace.bmp,f_queen_necklace.bmp,Elke,NL
A,Prime,Ewide,PT035,Elke Mexicaan beschoot een kan,Mexican_jug_s.bmp,paintballer_jug_s.bmp,Elke,NL
A,Target,NA,PT091,Elke cowboy stak een arts,cowboy_doctor_m.bmp,cowboy_doctor_s.bmp,Elke,NL
A,Filler,NA,IntFiller78,Elke indiaan glimlachte,nativeamerican_smile.bmp,nativeamerican_sleep.bmp,Elke,NL
A,Filler,NA,IntFiller66,Elke ski&eumlr glimlachte,skier_smile.bmp,skier_sleep.bmp,Elke,NL
A,Prime,Ewide,PT001,Elke kunstenaar raakte een ballerina aan,artist_ballerina_s.bmp,artist_skateboarder_s.bmp,Elke,NL
A,Target,NA,PT097,Elke jongen verfde een muur,boy_wall_m.bmp,boy_wall_s.bmp,Elke,NL
A,Filler,NA,IntFiller16,Elke ridder glimlachte,knight_smile.bmp,knight_skip.bmp,Elke,NL
A,Filler,NA,TrFiller57,De panda at de appel,f_panda_apple.bmp,f_giraffe_apple.bmp,Elke,NL
A,Prime,Uwide,PT007,Elke piraat viel een schip aan,pirate_ship_m.bmp,soldier_ship_m.bmp,Elke,NL
A,Target,NA,PT074,Elke huisvrouw tikte een verkoper aan,housewife_salesman_m.bmp,housewife_salesman_s.bmp,Elke,NL
